Name;Spectral AE;Spatial AE;psnr;sangle;freezestatus;lmbda;Kernel Size of Spatial AE;bpppc;;
Combined;Per-Pixel 1D CNN;2D CNN;40.07481384;4.81903553;All;0.5;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.83607483;4.648074627;All;0.7;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.88286591;4.701142788;All;0.9;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.95558929;4.886685848;All;1;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.75151825;4.637874126;Encoder;0.5;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.40760422;4.814072132;Encoder;0.5;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.04620361;5.016449928;Encoder;0.7;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;40.38303375;5.026434422;Encoder;0.9;3;0.5;;
Combined;Per-Pixel 1D CNN;2D CNN;39.54301071;5.448447227;Encoder;1;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;43.448;3.951;All;0;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;45.308;3.233;All;0.5;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;44.992;3.268;All;0.7;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;44.59;3.477;All;1;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;43.509;3.942;Encoder;0;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;45.504;3.062;Encoder;0.5;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;44.989;3.165;Encoder;0.7;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;44.413;3.5;Encoder;1;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;18.943;23.413;Nothing;0;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;42.293;4.515;Nothing;0.5;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;42.229;4.348;Nothing;0.7;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;44.407;3.638;Nothing;1;3;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;43.721;3.308;Encoder;0.5;5;0.5;;
FastCombined;Spectral 2D CNN;2D CNN;42.587;3.576;Encoder;0.5;7;0.5;;
