Name;psnr;latent;bpppc;model;bpp;Rd-lmdbda;model_id
CubicInterpolationLatent4;27.45480077;4;0.633663366;Cubic;;;0
CubicInterpolationLatent6;30.98468152;6;0.95049505;Cubic;;;0
CubicInterpolationLatent13;35.53278011;13;2.059405941;Cubic;;;0
CubicInterpolationLatent26;36.80148716;25;3.96039604;Cubic;;;0
CubicInterpolationLatent52;38.66738007;52;8.237623762;Cubic;;;0
Linear2InterpolationLatent2;18.80741487;2;0.316831683;Linear;;;1
Linear2InterpolationLatent3;27.88284243;3;0.475247525;Linear;;;1
Linear2InterpolationLatent6;32.93910664;6;0.95049505;Linear;;;1
Linear2InterpolationLatent13;35.79960166;13;2.059405941;Linear;;;1
Linear2InterpolationLatent26;36.86442742;26;4.118811881;Linear;;;1
Linear2InterpolationLatent52;39.20441554;52;8.237623762;Linear;;;1
FastCombinedLatent3;20.448;3;0.118811881;FastCombined;;;2
FastCombinedLatent6;38.9;6;0.237623763;FastCombined;;;2
FastCombinedLatent13-2;42.03;13;0.514851485;FastCombined;;;2
FastCombinedLatent26;43.477;26;1.02970297;FastCombined;;;2
Conv1DShuffleLatent2;20.40195465;2;0.316831683;Conv1D;;;3
Conv1DShuffleLatent4;43.62976074;4;0.633663366;Conv1D;;;3
Conv1DShuffleLatent7;44.33646393;7;1.108910891;Conv1D;;;3
Conv1DShuffleLatent13;48.86831284;13;2.059405941;Conv1D;;;3
Conv1DShuffleLatent26;51.56233978;26;4.118811881;Conv1D;;;3
CombinedLatent13;43.47879028;13;0.514851485;Combined;;;4
CombinedLatent26;43.84939194;26;1.02970297;Combined;;;4
FastConv1DLatent1;33.64640427;1;0.158415842;FastConv1D;;;5
FastConv1DLat2;39.68916702;2;0.316831683;FastConv1D;;;5
FastConv1DLat3;42.30121231;3;0.475247525;FastConv1D;;;5
FastConv1DLat6;43.78112411;6;0.95049505;FastConv1D;;;5
FastConv1DLat13;43.38945007;13;2.059405941;FastConv1D;;;5
FastConv1DLat26;43.79718399;26;4.118811881;FastConv1D;;;5
CombinedWithAttentionSpF64;38.819;;0.002078218;CombinedAtt;0.4198;0.1;6
CombinedWithAttentionSpF16;36.578;;0.002142079;CombinedAtt;0.4327;0.1;6
CombinedWithAttentionSpF16Adjusted;37.355;;0.002112871;CombinedAttAdjusted;0.4268;0.1;7
CombinedWithAttentionSpF64Adjusted;38.987;;0.002191089;CombinedAttAdjusted;0.4426;0.1;7
CombinedWithAttentionSpF4Adjusted;39.315;;0.019856436;CombinedAttAdjusted;4.011;5;7
CombinedWithAttentionSpF1Adjusted;40.435;;8.331683168;CombinedAttAdjusted;1683;5;7
JPEG2000;37.64;;0.199;;;;8
JPEG2000;38.661;;0.261;;;;8
JPEG2000;40.104;;0.382;;;;8
JPEG2000;42.886;;0.744;;;;8
JPEG2000;43.967;;0.92;;;;8
JPEG2000;45.73;;1.21;;;;8
JPEG2000;49.242;;1.77;;;;8
